sentence,fuel,machine,others,part,price,service
 kula saleresipun   ugi  kajeng kagungan mobil rush kaliyan desain ingkang sporty ,neutral,neutral,neutral,positive,neutral,neutral
" bengkel honda 0001 , mboten rekomendasi !! awon  ",neutral,neutral,neutral,neutral,neutral,negative
 kidang innova pokokipun   juwara mobil mewah nanging reginipun   mboten awis  ,neutral,neutral,positive,neutral,positive,neutral
" honda vario 125 2018 nyaman sanget dipunagem nggih , damel menyalip ugi  eca  , mesinipun   lembat dipunbandingaken kaliyan vario dangu ",neutral,positive,positive,neutral,neutral,neutral
" sampun bensinipun   irit , mesinipun   bandel . perjalanan saya    lancar . regi  sade mboten dhawah , dipunbanding kaliyan merek ingkang sanes . ",positive,positive,neutral,neutral,positive,neutral
" pangraosan liat wonten ratan veloz menika padahal enggal nanging liatipun   limrah mawon nggih , kirang greget ",neutral,neutral,negative,neutral,neutral,neutral
" kula agem grand livina saking 2008 , km empun meh    400 ewu  . taksih nyaman-nyaman mawon , lan irit . ",positive,neutral,positive,neutral,neutral,neutral
" niki mobil mantep , dipun-ajak mbujeng  innova taksih sagah   . naming bodinipun  mawon niki , kirang rigid . menawi dipunasta plajeng wonten tol melayang . ",neutral,neutral,positive,negative,neutral,neutral
 tetep kawon telak sami pajero sport ,neutral,neutral,positive,neutral,neutral,neutral
 regi  mirah inggih menika salah setunggal kalangkungan toyota calya ,neutral,neutral,neutral,neutral,positive,neutral
 rush inggih menika suv menengah ingkang menarik sanget ,neutral,neutral,positive,neutral,neutral,neutral
" isuzu panther grand touring warsa 2009 . mobil tanggen kaliyan mesin diesel ingkang irit lan bandel , reginipun   naming 167 jutaan juragan . ",positive,positive,neutral,neutral,positive,neutral
 sa bab ingkang mungkin dipunraos kirang saking xenia inggih menika kaliyan beban kebak kapasitas tenaga mobil dipunraos kirang maksimal ,neutral,negative,neutral,neutral,neutral,neutral
 scoopy mboten cocok kagem mahasiswa ,neutral,neutral,negative,neutral,neutral,neutral
 mantab reviewipun   ... leres sih menawi masalah handling mboten dipunragukaken malih .. ndamel  brio fun to drive ,neutral,neutral,positive,positive,neutral,neutral
" mobil toyota avanza mobil ingkang mirah , tetep mboten mirahan . ",neutral,neutral,neutral,neutral,positive,neutral
 mobil ingkang mboten nate   gw lirik wonten ratanan ... mobilio lan brv ... designipun   semrawut .. awon  pol ,neutral,neutral,neutral,negative,neutral,neutral
" avanza dados   miyos praktis dipunagem wonten warni-warni rute kaliyan kondisi {margi, mlampah} ingkang ripak  juragan . ",neutral,neutral,positive,neutral,neutral,neutral
 fortuner menawi panjenengan panjenengan pilih menika mesthi mboten badhe nyesel fortuner menika canggih ,neutral,neutral,positive,neutral,neutral,neutral
 ingkang kula mboten remen saking terios menika samparan samparanipun ingkang kirang kiyat lan berisik sanget ,neutral,neutral,neutral,negative,neutral,neutral
" kagungan motor yamaha mboten nate   ndamel  puyeng , amargi perawatan ingkang simple lan mirah , saha  mboten betah wekdal . @yamahaindonesia #40thyamaha ",neutral,neutral,neutral,neutral,neutral,positive
 nanging bengkel honda ingkang wonten deket ring road menika awon  :| ,neutral,neutral,neutral,neutral,neutral,negative
" cekap impresif , saking sisi regi  , kajangkepan lan tamtunipun  engine ingkang agem 4 cylinder , kula pitados badhe pajeng  atos|sora . ",neutral,neutral,neutral,neutral,positive,neutral
 sedayanipun kecewa awrat sami honda hrv ,neutral,neutral,negative,neutral,neutral,neutral
 toyota rush eca  dipunagem sadinten-dinten lebeting kitha lan santai kagem dipunagem mudik . ,neutral,neutral,positive,neutral,neutral,neutral
" keleresan kula ugi  agem livina saking 2010 . keluhanipun   sami , mesin ngelitik padahal sampun wongsal-wangsul beres kaping pinten . ",neutral,negative,neutral,neutral,neutral,neutral
 jazz miyos bandel menawi dipunbanding brio ,neutral,negative,neutral,neutral,neutral,neutral
" sampun kersa servis wonten bengkel toyota, mahalipun   kebangetan, pelayanan mboten maremaken. ",neutral,neutral,neutral,neutral,neutral,negative
" sampun mundhut brio, kenyamananipun   awon  sanget, mending calya tansah eca  dipundamel dhateng pundi pundi . ",neutral,neutral,positive,neutral,neutral,neutral
 sampun mundhut mobil produk @daihatsuind utaminipun mobil xenia amargi mesinipun   gampil meledak . ,neutral,negative,neutral,neutral,neutral,neutral
" kagem perangan safety and security , grand new avanza ngagungani pinten-pinten fitur ingkang nyengkuyung keamanan lan kawilujengan . ",neutral,neutral,neutral,positive,neutral,neutral
 liburan dhateng bali berempat kaliyan wuling confero s lux+ . bbm ingkang irit sanget ,positive,neutral,neutral,neutral,neutral,neutral
 terios menika mobil cocok kagem sedaya medan ,neutral,neutral,positive,neutral,neutral,neutral
" vario ban sampun tubeless lan bensin ingkang irit dipuntambah bagasi ingkang lega , damel panggalih rena lan spirit bingah  . ",positive,neutral,neutral,positive,neutral,neutral
" konsumsi bahan besmi honda mobilio tipe e cvt prestige cekap irit inggih menika 14,2 km / liter kaliyan kecepatan 40 -60 km / tabuh . ",positive,neutral,neutral,neutral,neutral,neutral
 calya mobilipun   irit bahan besmi kula isi kebak saged damel berkeliling-keliling kitha-kitha dados mboten asring pinarak dhateng spbu ,positive,neutral,neutral,neutral,neutral,neutral
 suzuki ertiga mobil mirah nanging mboten mirahan dipunpriksa interioripun   mantep . ,neutral,neutral,neutral,positive,positive,neutral
 toyota majeng oh   sampun ngoten ngoten terus regi  awis  tp menapa ingkang wonten keparing sakedhik bgt ,neutral,neutral,negative,neutral,negative,neutral
" bengkel mobil honda ingkang wonten autoland menawi wonten problem saestu lan kepriksanipun badhe bebas saking biaya , piyambakipun sedaya mesthi nolak   servis . ",neutral,neutral,neutral,neutral,neutral,negative
 fortuner mobil irit bahan besmi lan nyaman naming ngagem biosolar mobil tindak kaliyan sempurna lan kebukti  saking jakarta dumugi surabaya kaping kalih isi solar lan menika nggih taksih saged dipunagem keliling kitha surabaya . ,positive,neutral,positive,neutral,neutral,neutral
" pokokipun   yamaha keren sanget saya    wonten ngajeng tetep ingkang paling sae motoripun   nyaman dipunagem , mesinipun   lembat , badhe kakung utawi putri cocok deh agem yamaha ",neutral,positive,positive,neutral,neutral,neutral
 kula tengga tetaunan       . kala kala menapa niki daihatsu sukabumi kagungan bengkel ingkang prayogi kados   toyota lan honda . ingkang wonten samenika awon  por sanget ,neutral,neutral,neutral,neutral,neutral,negative
" avanza mlajengipun ugi  lumayan kenceng , wonten tol saged dugi     140 km / h. ",neutral,positive,neutral,neutral,neutral,neutral
" damel bensin fortuner mboten betah dipunpundhut priksa , kula isi kebak dinten  ahad , lan menika saged dipunagem dumugi kalih minggu dhateng ngajeng . irit sanget kan ! ",neutral,positive,neutral,neutral,neutral,neutral
 paling ok damel jalur semi off road lan inggah-inggah terios ,neutral,positive,neutral,neutral,neutral,neutral
" kaliyan desain aerodinamis , ingkang ndamel  mobil grand new veloz gampil sanget dikendalikan , ",neutral,neutral,neutral,positive,neutral,neutral
 mobilio sae   purnajual ugi  oke ,neutral,neutral,positive,neutral,positive,neutral
 hrv kagungan tangga   kula koh shock ngajeng atos|sora nggih . ,neutral,neutral,neutral,negative,neutral,neutral
" midherek kula kagem regi  mobil sekelasipun   , dumugi wekdal menika mungkin ignis menika ingkang paling value for money . ",neutral,neutral,neutral,neutral,positive,neutral
 vario tebih miyos gesit daripada mio ,neutral,negative,neutral,neutral,neutral,neutral
 rush 2018 kula varian g at suwanten mesin kasar . ,neutral,negative,neutral,neutral,neutral,neutral
" avanza naming nelasaken    sawentawis 40 liter bensin kagem 700 km , bung . irit jahat menika sih . ",positive,neutral,neutral,neutral,neutral,neutral
" gadhah artos karimun wagon r referensi niki bang , keleresan malih pados lcgc ingkang mirah meriah regi  pasaranipun   ",neutral,neutral,neutral,neutral,positive,neutral
 atos-atos mawon mobilio purnajualipun   remen dhawah ,neutral,neutral,neutral,neutral,negative,neutral
" kathah bab menarik wonten mobil toyota calya menika , reginipun   mirah ",neutral,neutral,neutral,neutral,negative,neutral
 kawasaki athlete kraos  klasik nanging kirang menarik . kados setengah-setengah ,neutral,neutral,negative,neutral,neutral,neutral
" kesimpulan sadangu agem fortuner vrz kenyamanan betah sanget , interior endah kantenan damel kraos wonten mobil ",neutral,neutral,positive,positive,neutral,neutral
 menika mobil avanza miyos boros daripada mobil bmw ,positive,neutral,neutral,neutral,neutral,neutral
 kejawi elegan motor ugi  keren damel putra timur utawi nggih tiyang sepuh kejawi menika perawatan ugi  gampil sanget lan dipuntambah onderdil ugi  mirah ndamel  kula ngaosi    produk honda kejawi menika ugi  irit bahan besmi kaliyan mesin injeksi ndamel  mesin miyos awet lan tanggen damel perjalanan tebih nggih mesin tetep oke ,positive,positive,neutral,positive,neutral,positive
" sae   kali pelayanan astra daihatsu {margi, mlampah} sisingamangaraja menika . servis mobil gantos oli , keparing girah gratis ! ",neutral,neutral,neutral,neutral,neutral,positive
 kegoblokan nissan wonten gl menika mesin mboten dipunparingi knock sensor ( naming pirantos setunggal mawon pelit sanget ) . ,neutral,negative,neutral,neutral,neutral,neutral
 regi  mirah kwalitet terjamin ertiga estu   mobil ingkang mantep jaya ,neutral,neutral,positive,neutral,positive,neutral
 asli avanza kula boros akhir-akhir menika ,negative,neutral,neutral,neutral,neutral,neutral
" sasampunipun pangageman pinten-pinten wekdal, motor menika nyaman sanget, empuk sanget nglangkungi margi   risak, kados   lempeng kados menika mawon tanpa wonten guncangan ingkang gadhah artos. ",neutral,neutral,positive,neutral,neutral,neutral
 kaliyan ngagem avanza ingkang super irit . pengeluaran kula nggih saged terjangkau . ,positive,neutral,neutral,neutral,neutral,neutral
" niki mobil menawi dipunasta mudik mesthi nyaman, salira mboten pegel-pegel. ",neutral,neutral,positive,neutral,neutral,neutral
" kula berombongan agem xenia 1.0 , kasunyatanipun tenaga xenia 1.0 ugi  oke kagungan ",neutral,positive,neutral,neutral,neutral,neutral
 sigra ugi  kiyat poweripun   kagem dipunasta kebut-kebutan wonten ratan lintas sumatra ingkang kejam. ,neutral,positive,neutral,neutral,neutral,neutral
" kula agem xenia li vvti 2007 , nggih sadar mawon pun kagungan mobil mirah meriah 1000 cc niku ",neutral,neutral,neutral,neutral,positive,neutral
" yamaha nmax perawatan motor mboten ribet , lan reginipun   terjangkau . ",neutral,neutral,neutral,neutral,positive,positive
 keunggulan mobil avanza paling enggal inggih menika sparepart ipun    ingkang gampil dipunpadosi . ,neutral,neutral,neutral,positive,neutral,neutral
 great new xenia kagungan regi  ingkang mitran     lan interior ingkang lumayan kagem tipe paling inggil ,neutral,neutral,neutral,positive,positive,neutral
 brio sae   sanget mboten dora   ! ,neutral,neutral,positive,neutral,neutral,neutral
" wiwit    kula   kagungan setunggaling unit honda sonic, sugeng mungkin kraos  saged leluasa kagem nyakup     dhateng pundi nggih kula  badhe. ",neutral,neutral,positive,neutral,neutral,neutral
" nanging menawi kagem samparan samparan , kagungan kula radi berisik , menapa malih medal {margi, mlampah} risak , menika samparan samparan kraos  sanget bunyi-bunyinipun  . ",neutral,neutral,neutral,negative,neutral,neutral
" duka  kenging menapa nggih , kula   miyos nyaman brio generasi pertami .. ingkang samparan samparanipun miyos ceper , good looking wonten dilah wingking bulat lan kaca semi framless ",neutral,neutral,positive,positive,neutral,neutral
" mungkin sampun 5 warsa kula agem kidang innova . lebeting pangageman sadinten-dinten ingkang asring , mobil menika kelebet  ramah perawatan . ",neutral,neutral,neutral,neutral,neutral,positive
 brio tansah miyos kagungan karakter kiyat piyambakan . sirion kados mboten kagungan jatos dhiri ,neutral,neutral,negative,neutral,neutral,neutral
" mobil kula  xenia warsa 2004 , tipe li standar . spionipun   taksih ingkang model tipis , kirang elegan . ",neutral,neutral,neutral,negative,neutral,neutral
 fortuner boros sanget bensinipun   mboten sugih altis ingkang hemat sanget ,positive,neutral,neutral,neutral,neutral,neutral
" mending wuiling almaz . fitur kathah , mesin turbo , body gede , regi  menarik . ",neutral,positive,neutral,positive,positive,neutral
 niki xexi asring dipunagem dhateng tasikmalaya langkung nagrek mboten wonten masalah niku . ,neutral,neutral,positive,neutral,neutral,neutral
 pelayanan bengkel honda autobest soekarno hatta awon  sanget sih . pantes mawon sepen mawon . ,neutral,neutral,neutral,neutral,neutral,negative
 menawi saking fitur sih menang sirion . nanging menawi desain midherek kula brio miyos seksi lan mboten bosenin ,neutral,neutral,neutral,positive,neutral,neutral
" sedayanipun kula remen xenia . mirah , desain lucu , amot kathah barang , gampil dipunasta , mboten betah parkiran ageng lo . pokokipun   maknyus . ",neutral,neutral,positive,positive,positive,neutral
 toyota calya hemat bahan besmi lan kabin ngewrat kathah penumpang ,positive,neutral,neutral,positive,neutral,neutral
" getun    kula mundhut honda vario , awon  sanget motoripun   . ",neutral,neutral,negative,neutral,neutral,neutral
 honda beat sporty irit bahan besmi lan modelipun   sae   sporty lan pilihan warnanipun  kathah nanging kula   remen warni black hard ,positive,neutral,neutral,positive,neutral,neutral
" menawi xi plus , speed ugi  mboten ragu-ragu damel dites kaliyan mobil kelas sanes . ",neutral,positive,neutral,neutral,neutral,neutral
 naming nate   komplain mawon menawi xenia koplingipun   atos|sora kaliyan motor locking door ipun    aus ,neutral,neutral,neutral,negative,neutral,neutral
 tansah remen  saben  berkendara ngagem aerox . ,neutral,neutral,positive,neutral,neutral,neutral
" hahaha mas fitra begja     rawuh dhateng honda cabang menika , staf ramah  &  bengkel ingkang sae   + rapi . ",neutral,neutral,neutral,neutral,neutral,positive
" naming samenika malih kagungan pengganjal , menawi nglangkungi polisi sare xenia kadosipun   dasbor menika ungel , kados kirang rigid ",neutral,neutral,neutral,negative,neutral,neutral
" dados kesimpulan kula damel xpander : "" mboten sanget deh . "" ",neutral,neutral,negative,neutral,neutral,neutral
 terios enggal eca  dipunagem lan nyaman ,neutral,neutral,positive,neutral,neutral,neutral
 kwalitet jok pinarak avanza nyaman amargi sampun ngagem bahan papan  pinarak kagungan kualitas sae   ,neutral,neutral,neutral,positive,neutral,neutral
" nanging kula bingah kagungan karimun wagon r , mobil menika saged sanget dipunandelaken lan ramah wonten kantong ",neutral,neutral,positive,neutral,positive,neutral
 rush enggal kepriksan miyos gagah lan keren ,neutral,neutral,positive,neutral,neutral,neutral
 samparan samparan hrv kraos  berisik pas hajar polisi sare . lan menika murugaken kretek-kretek dhateng konten bagasi . berisik ,neutral,neutral,neutral,negative,neutral,neutral
 wiwit    kula agem toyota calya dompet kula  mboten malih bocor utawi bbm ipun    irit sanget . lan mboten asring ngiseni bbm malih . ,positive,neutral,neutral,neutral,neutral,neutral
" toyota innova diesel eca  sanget dikendarai , gampil perawatanipun   lan irit sanget bbmipun   ",positive,neutral,positive,neutral,neutral,positive
 brio menawi wonten ajak plajeng lincah sanget tarikan ugi  lembat ,neutral,positive,neutral,neutral,neutral,neutral
" mending calya lah irit , suspensi nyaman , amot kathah , inline 4 silinder kaliyan vvt -i technology saged damel taksi daring ",positive,neutral,neutral,positive,neutral,neutral
 kagem bahan besmi irit mesthi avanza ,positive,neutral,neutral,neutral,neutral,neutral
" sae   sanget sih scoopy , cocok damel putri pas sanget . mesinipun   lembat ugi  . banipun   lucu kados menika . ",neutral,positive,positive,positive,neutral,neutral
 leres tembung om fitra recall master rem hrv saking dealer antreanipun   3 sasi  miyos menika recall ,neutral,neutral,neutral,neutral,neutral,negative
 kula miyos pilih innova kagem mobil keluwargi sanadyan reginipun   miyos awis  . ,neutral,neutral,positive,neutral,negative,neutral
 mobil kula avanza type g 1300 cc warsa 2007 ngantos samenika mesinipun   mboten rewel lan bahan besmi taksih irit . ,positive,positive,neutral,neutral,neutral,neutral
 suspensi xpander empuk lan nyaman ,neutral,neutral,neutral,positive,neutral,neutral
 mending menika lah daripada honda jazz city car over price pelit fitur . ,neutral,neutral,neutral,negative,negative,neutral
" desain dasbor hrv kece , kados-kadosipun sedaya diorientasikan dhateng pengemudi ",neutral,neutral,neutral,positive,neutral,neutral
" kula ngagem avanza warsa 2009 transmisi manual . kwalitet mesin top sanget . sanadyan kaliyan pemeliharaan minimal , nanging kasilipun   maksimal . ",neutral,positive,neutral,neutral,neutral,neutral
" kula sih mending xi irit sih benten tipis menapa malih macet wonten kitha-kitha ageng mboten murugaken xi damel jawining kitha eca  , inggah-inggah ugi  oke . ",positive,neutral,positive,neutral,neutral,neutral
 pungkasanipun saged mundhut mobil ugi  . pilihan kula dhawah dhateng daihatsu xenia sporty . mobil menika nyaman sanget sanget . interior sae   sanget lan elegan . mlajengipun ugi  stabil sanget lan mantep . ,neutral,positive,positive,positive,neutral,neutral
 xenia li kagungan kula konsumsi bbm ipun    irit sanget,positive,neutral,neutral,neutral,neutral,neutral
avanza gayanipun  jadul ah mboten cocok damel mahasiswa ,neutral,neutral,neutral,negative,neutral,neutral
 brio sae   sanget mboten sugih mobil setunggaling kula si calya awon  ,neutral,neutral,negative,neutral,neutral,neutral
 mboten wonten ingkang saged ngawonaken  ketangguhan mesin avanza . ,neutral,positive,neutral,neutral,neutral,neutral
 enteng wekdal dikendarai . mboten awrat . onderdil gampil dipunpadosi . kathah konter-konter honda wonten deket dalem . dados mboten betah tebih madosi  papan  servis tebih-tebih . ,neutral,neutral,positive,positive,neutral,positive
 yamaha aerox r tarikan oke mesin hebat bodi sporty ,neutral,positive,neutral,positive,neutral,neutral
" ing  warsa 2017 kula mundhut beat , status kula pelajar dados kula saben  dinten agem dhateng sekolah jujur tarikanipun   nyaman saha lincah nanging ingkang eman-eman   ground clearance nipun    kirang inggil ",neutral,positive,neutral,negative,neutral,neutral
 cat xenia duka  kenging menapa gampil  sanget baret alus . ,neutral,neutral,neutral,negative,neutral,neutral
 xenia li biru dlx ac ipun    asrep  ugi  . mantaplah . ,neutral,neutral,neutral,positive,neutral,neutral
" regi  ingkang gampil terjangkau dening sinten nggih , model lan teknologi kekinian , perawatan gampil lan tamtunipun  irit bahan besmi saha  purnajual ingkang sae   , sedayanipun berkualifikasi sae   . mantep estu   honda beat . ",positive,neutral,positive,positive,positive,positive
 desain lan body interior bagusan fortuner ,neutral,neutral,neutral,positive,neutral,neutral
" menawi priksa spesifikasinipun , regi  ertiga lumayan overpriced ",neutral,neutral,neutral,neutral,negative,neutral
 dealer lan bengkelipun   hrv wonten ngriku    pelayananipun   sae   sanget plus mirah mas . ,neutral,neutral,neutral,neutral,neutral,positive
 toyota calya mobil keluwargi lcgc regi  mirah ingkang mboten mirahan ,neutral,neutral,neutral,neutral,positive,neutral
 sanadyan kaliyan keseluruha oke nanging menawi bensinipun   boros dados kesed mundhut ,negative,neutral,positive,neutral,neutral,neutral
" sampun sawarsa miyos toyota calya menika kula agem dhateng panggenan-panggenan ekstrem , nanging dumugi wekdal menika nggih dereng nate   kula panggihaken masalah ing  mobil menika . ",neutral,neutral,positive,neutral,neutral,neutral
" kula pitados , satebih menika regi  sade toyota miyos awis  katimbang merek ingkang sanes ",neutral,neutral,neutral,neutral,positive,neutral
 menawi kagungan toyota nggih kedah kantos mawon menawi servisipun   awon  ,neutral,neutral,neutral,neutral,neutral,negative
" honda vario ingkang mesthi irit bbm , sanadyan motor jinis matic nanging kagem kecepatan tetep tanggen dipunbandingaken motor kaliyan cc ingkang sami kaliyan transmisi manual ",positive,positive,neutral,neutral,neutral,neutral
 wuling confero mobil ingkang cocok sanget kagem tindak tebih ,neutral,neutral,positive,neutral,neutral,neutral
 remen sanget sami terios enggal ,neutral,neutral,positive,neutral,neutral,neutral
" kula ugi  agem honda . salah setunggal ingkang paling kula remen saking merek menika inggih menika kepraktisanipun   , ",neutral,neutral,positive,neutral,neutral,neutral
 kula pertami cobi mengendarai honda beat sporty kula remen tarikanipun   lincah lan ing  wekdal inggah-inggah enteng . ,neutral,positive,neutral,neutral,neutral,neutral
" calya mboten didesain kagem dipunagem wonten medan ingkang sekel, ringkih! ",neutral,neutral,neutral,negative,neutral,neutral
" menawi damel usaha agem li mawon , mesthi nyaman . ",neutral,neutral,positive,neutral,neutral,neutral
 altis 2010 mawon taksih eca  menapa malih 2014 ,neutral,neutral,positive,neutral,neutral,neutral
" honda vario kraos  lincah sanget lan tanggen ngater    kula dhateng pundi mawon , membelah saben lekuk lan sudut yogyakarta lan sawentawisipun tanpa kuwatos  kenapa-kenapa . ",neutral,positive,neutral,neutral,neutral,neutral
 honda hrv samparan samparan kraos  ringkih . per wingking gampil  ngejeduk . ,neutral,neutral,neutral,negative,neutral,neutral
" saleresipun   alesan kula milih honda nggih amargi miyos eca  mawon tarikan mesin ipun    dipun-ajak {margi, mlampah} sadinten-dinten . miyos cocok kaliyan selera kula . dados minor change utawi major change , naming soal selera ",neutral,positive,neutral,neutral,neutral,neutral
" awalipun   kula sakedhik ragu-ragu kagem mundhut wuling confero l , nanging kaliyan regi  ingkang kados menika ramah , meksa   kula milih   kendaraan menika . ",neutral,neutral,neutral,neutral,positive,neutral
 menawi kula   tetep pilih avanza amargi sampun kebukti  kehandalan mesinipun  . ,neutral,negative,neutral,neutral,neutral,neutral
" xenia xi sporty menawi pas nyugengaken ac , suwanten mesinipun   berisik sanget ",neutral,negative,neutral,neutral,neutral,neutral
 avanza kenyamananipun   paling juwara ,neutral,neutral,positive,neutral,neutral,neutral
" kagungan hrv e 2018 , tenaganipun  ugi  lumayan ",neutral,positive,neutral,neutral,neutral,neutral
 karimun wagon r cocog  kebetahan  &  budget mawon supados tetep saged menikmatinipun  lan mboten menggangu kebetahan sanesipun   ,neutral,neutral,neutral,neutral,positive,neutral
" avanza menika bodinipun  saya  sae   , miyos irit bahan besmi , onderdil kathah lan mirah , ukuran miyos lega , gampil dipunsade , regi  sade inggil , dipunasta kondur kampung eca  , perawatan mirah . miyos elegan . ",positive,neutral,positive,positive,positive,positive
 honda brio miyos worth it menawi kajeng mobil ingkang fun to drive ,neutral,neutral,positive,neutral,neutral,neutral
" avanza menika amargi bobotipun   miyos ringan juragan , ",neutral,neutral,neutral,positive,neutral,neutral
" yamaha 125 zr sanes mboten pajeng  , reginipun   kraos  wonten awang-awang ",neutral,neutral,neutral,neutral,negative,neutral
 gadhah artos mesin xenia kebukti  sae   lan bandel + irit bbm ,positive,positive,neutral,neutral,neutral,neutral
" midherek kula veloz mboten seindah menika om , mboten wonten nyaman-nyamanipun   menawi dibandingin lawan2ipun   . ",neutral,neutral,negative,neutral,neutral,neutral
 kula kagungan mobil rentalan 50 biji xenia umuripun   sampun 3 warsa sedaya setunggal nggih mboten wonten ingkang meledak mesinipun   . ,neutral,positive,neutral,neutral,neutral,neutral
" nggih estu   xpander , fasilitas servisipun   ugi  sae   sanget ",neutral,neutral,neutral,neutral,neutral,positive
 salah setunggal ingkang kula remen saking yamaha inggih menika after sales servicenipun  ,neutral,neutral,neutral,neutral,neutral,positive
 sedaya produk nissan pajeng  atos|sora wonten pasaran . ,neutral,neutral,positive,neutral,neutral,neutral
" sadangu 2 warsa dereng wonten pambengan, sigra estu   mantep. ",neutral,neutral,positive,neutral,neutral,neutral
" kasunyatanipun pelayanan bengkel-bengkel yamaha asli awon  sanget , kula bagusin stater hand dumugi wongsal-wangsul naming asih  arta dhateng bengkelipun   nanging tetep mboten saged dipunagem stater kula . ",neutral,neutral,neutral,neutral,neutral,negative
 aduh dados nyesel ngambil alya ,neutral,neutral,negative,neutral,neutral,neutral
 masa kula mrika wekdal dinten nyambut damel pekerjanipun  naming sakedhik kados pundi menika pelayanan saking daihatsu damel pelangganipun   ,neutral,neutral,neutral,neutral,neutral,negative
 mesin avanza ugi  bertenaga juragan . ,neutral,positive,neutral,neutral,neutral,neutral
" altis g 2003 mt , mesin raosipun   powerful sanget wonten rpm 2.500 nggih mantep . ",neutral,positive,neutral,neutral,neutral,neutral
 bingah sanget kula kagungan mobil xenia menika sanadyan reginipun   awis  . ,neutral,neutral,positive,neutral,negative,neutral
 pilihan warni brio lucu-lucu sedaya bingung pilih pundi ,neutral,neutral,neutral,positive,neutral,neutral
 kula ngagungani motor vespa sprint menika inggih menika motor ingkang kula agem saking sma wekdal nalika menika motor paling keren sae   lan bagus   deh pokokipun   reginipun   mitran     ,neutral,neutral,positive,neutral,positive,neutral
 cocok sanget avanza kagem dipunasta liburan sareng  keluwargi nyaman sanget ,neutral,neutral,positive,neutral,neutral,neutral
" eca  ugi  niki xenia 1000 cc , irit lan lincah hehe ",positive,positive,positive,neutral,neutral,neutral
" suspensi toyota calya nyaman , amot kathah , inline 4 silinder kaliyan vvt -i technology saged damel taksi daring ",neutral,neutral,neutral,positive,neutral,neutral
" ertiga gayanipun  oke sanget, tarikan ugi  mantep lan bandel nanging sayangipun   boros sanget ",negative,positive,neutral,positive,neutral,neutral
" daihatsu xenia ingkang paling pas kagem kula lan keluwargi , perawatan miyos gampil lan part miyos mirah saking kendaraan merek sanesipun   . ",neutral,neutral,positive,positive,neutral,positive
 sumpah . gtr bagus   sanget asli ,neutral,neutral,positive,neutral,neutral,neutral
 kagem kula kagem ukuran ekonomi menengah dhateng ngandhap nggih toyota calya oke sanget reginipun   ,neutral,neutral,neutral,neutral,positive,neutral
 kaliyan kwalitet ingkang dipunparingaken  &  regi  ingkang mirah midherek kula sanget sanget worth to buy pisan  ignis menika ,neutral,neutral,positive,neutral,positive,neutral
 agem new avanza bu . boros bensin haha ,negative,neutral,neutral,neutral,neutral,neutral
 cooper alit  nanging awis  ,neutral,neutral,neutral,neutral,negative,neutral
 mboten nate   bosan kula agem vario kagem tindak dhateng kampus . ,neutral,neutral,positive,neutral,neutral,neutral
" regi  awis  , nanging fitur ngoten ngoten mawon . ",neutral,neutral,neutral,negative,negative,neutral
" yamaha lexi speedipun   ewah, tarikanipun   juwara, naming yah, bensinipun   nyedot, bro. ",negative,positive,neutral,neutral,neutral,neutral
" remen  kula sami xenia li. miyos arta mboten kathah , dapatipun   mantep . ",neutral,neutral,positive,neutral,positive,neutral
 honda hrv gasipun   alon  wonten ratan mboten radin ungel sedaya . ,neutral,negative,neutral,neutral,neutral,neutral
" xenia menika mobil irit oli ( naming 2 liter ) , irit sparepart ( sparepart ipun    naming sakedhik ) . ",positive,neutral,neutral,positive,neutral,neutral
 interior mobil avanza veloz ugi  sampun dipundamelaken kabin avanza veloz kaliyan tampilan ingkang miyos modern lan elegan ,neutral,neutral,neutral,positive,neutral,neutral
 kantenan design mazda cx -3 miyos cakep diliat saking ngajeng sisi    lan wingking ,neutral,neutral,neutral,positive,neutral,neutral
" sadangu menika mboten nate   wonten masalah lan estu   mesinipun   tanggen lan bandel sae  kagem {margi, mlampah} menanjak wonten pareden    . pokokipun   avanza paling sae . ",neutral,positive,positive,neutral,neutral,neutral
" desain interior tebih lbh simpel , elegan lan berkelas cx3 saking chr ingkang terkesan ribet ",neutral,neutral,neutral,negative,neutral,neutral
" payah , bengkel honda resmi mboten becus ... wonten ngriki malah miyos ngertos . ",neutral,neutral,neutral,neutral,negative,neutral
 jazz tarikanipun   miyos oke daripada brio ,neutral,negative,neutral,neutral,neutral,neutral
 midherek kula sih saking segi pandengan soca brio menika mewah sanadyan minim fitur lan saking gengsinipun  ugi  benten  ,neutral,neutral,positive,negative,neutral,neutral
 samparan samparan hrv kados mboten kokoh ,neutral,neutral,neutral,negative,neutral,neutral
 ignis menika city car paling terjangkau kaliyan poin-poin wonten inggil ,neutral,neutral,neutral,neutral,positive,neutral
 kaliyan sedayanipun avanza sae   kejawi  pangageman bensin ingkang boros sanget ,negative,neutral,positive,neutral,neutral,neutral
" kelemahanipun   naming setunggal , shockipun   atos|sora atos|sora atos|sora atos|sora atos|sora ",neutral,neutral,neutral,negative,neutral,neutral
 badhe pesaing enggal ingkang buanyak ingkang miyos lan model sami fitur ingkang miyos seger . tetep avanza menika wonten ing panggalih ,neutral,neutral,positive,neutral,neutral,neutral
" bensin 1:15 jawining kitha ( sampun irit sanget kan ) gesit wonten penggokan , naming taksih standar . ",positive,positive,neutral,neutral,neutral,neutral
